created_at,full_text,username,cleaned_text,translate_text,lower_text,normalize_text,stopwords_text,tokenisasi_text
Wed Feb 15 03:15:56 +0000 2023,@pengarang_sajak Indonesia? Apa jadi bikin currency sendiri di kawasan ASEAN atau bakalan gabung BRICS?,surya0377, Indonesia Apa jadi bikin currency sendiri di kawasan ASEAN atau bakalan gabung BRICS,Indonesia Apa jadi bikin currency sendiri di kawasan ASEAN atau bakalan gabung BRICS,indonesia apa jadi bikin currency sendiri di kawasan asean atau bakalan gabung brics,indonesia apa jadi bikin currency sendiri di kawasan asean atau bakalan gabung brics,indonesia apa jadi bikin currency sendiri kawasan asean bakalan gabung brics,"['indonesia', 'apa', 'jadi', 'bikin', 'currency', 'sendiri', 'kawasan', 'asean', 'bakalan', 'gabung', 'brics']"
Mon Mar 13 14:35:37 +0000 2023,@BLINKSTATS No but seriously I'm not lying when saying they're the Nation Girlgroup in Indonesia. YG should realize this and give Jakarta an encore our crowd and pink ocean didn't disappoint https://t.co/Os3jm61fqH,eternalroseanne, No but seriously Im not lying when saying theyre the Nation Girlgroup in Indonesia YG should realize this and give Jakarta an encore our crowd and pink ocean didnt disappoint httpstcoOs3jm61fqH,"Tidak, tapi serius, saya tidak berbohong ketika mengatakan mereka adalah Girlgroup Nasional di Indonesia. YG harus menyadari hal ini dan memberikan Jakarta encore, kerumunan kami dan Pink Ocean tidak mengecewakan. httpstcoOs3jm61fqH","tidak, tapi serius, saya tidak berbohong ketika mengatakan mereka adalah girlgroup nasional di indonesia. yg harus menyadari hal ini dan memberikan jakarta encore, kerumunan kami dan pink ocean tidak mengecewakan. httpstcoos3jm61fqh","tidak, tapi serius, saya tidak berbohong ketika mengatakan mereka adalah girlgroup nasional di indonesia. yang harus menyadari hal ini dan memberikan jakarta encore, kerumunan kami dan pink ocean tidak mengecewakan. httpstcoos3jm61fqh","tidak, serius, berbohong mengatakan adalah girlgroup nasional indonesia. harus menyadari ini memberikan jakarta encore, kerumunan dan pink ocean tidak mengecewakan. httpstcoos3jm61fqh","['tidak', ',', 'serius', ',', 'berbohong', 'mengatakan', 'adalah', 'girlgroup', 'nasional', 'indonesia', '.', 'harus', 'menyadari', 'ini', 'memberikan', 'jakarta', 'encore', ',', 'kerumunan', 'dan', 'pink', 'ocean', 'tidak', 'mengecewakan', '.', 'httpstcoos3jm61fqh']"
Sat Apr 01 22:55:16 +0000 2023,@Spriter99880 Indonesia belum minat gabung BRICS,Didi_margo, Indonesia belum minat gabung BRICS,Indonesia belum minat gabung BRICS,indonesia belum minat gabung brics,indonesia belum minat gabung brics,indonesia minat gabung brics,"['indonesia', 'minat', 'gabung', 'brics']"
Fri Apr 07 02:42:38 +0000 2023,Given the ongoing escalation between 🇮🇱🇵🇸🇱🇧 just a reminder that with 1 230 personnel (March 20) Indonesia is the largest @UNIFIL_ troop-contributing countries 🇮🇩 peacekeepers manned several posts including UNP 9-63 which is located only ~470 metres from 🇮🇱🇱🇧 border https://t.co/QBoiPL0Sw9,Jatosint,Given the ongoing escalation between  just a reminder that with 1 230 personnel March 20 Indonesia is the largest  troopcontributing countries  peacekeepers manned several posts including UNP 963 which is located only 470 metres from  border httpstcoQBoiPL0Sw9,"Mengingat eskalasi yang sedang berlangsung antara Indonesia dan Uni Eropa, perlu diingat bahwa dengan 1.230 personel, Indonesia adalah negara penyumbang pasukan terbesar, pasukan penjaga perdamaian ditempatkan di beberapa pos termasuk UNP 963 yang terletak hanya 470 meter dari perbatasan httpstcoQBoiPL0Sw9","mengingat eskalasi yang sedang berlangsung antara indonesia dan uni eropa, perlu diingat bahwa dengan 1.230 personel, indonesia adalah negara penyumbang pasukan terbesar, pasukan penjaga perdamaian ditempatkan di beberapa pos termasuk unp 963 yang terletak hanya 470 meter dari perbatasan httpstcoqboipl0sw9","mengingat eskalasi yang sedang berlangsung antara indonesia dan uni eropa, perlu diingat bahwa dengan 1.230 personel, indonesia adalah negara penyumbang pasukan terbesar, pasukan penjaga perdamaian ditempatkan di beberapa pos termasuk unp 963 yang terletak hanya 470 meter dari perbatasan httpstcoqboipl0sw9","mengingat eskalasi sedang berlangsung indonesia uni eropa, perlu diingat dengan 1.230 personel, indonesia negara penyumbang pasukan terbesar, pasukan penjaga perdamaian ditempatkan beberapa pos termasuk unp 963 terletak 470 meter perbatasan httpstcoqboipl0sw9","['mengingat', 'eskalasi', 'sedang', 'berlangsung', 'indonesia', 'uni', 'eropa', ',', 'perlu', 'diingat', 'dengan', '1.230', 'personel', ',', 'indonesia', 'negara', 'penyumbang', 'pasukan', 'terbesar', ',', 'pasukan', 'penjaga', 'perdamaian', 'ditempatkan', 'beberapa', 'pos', 'termasuk', 'unp', '963', 'terletak', '470', 'meter', 'perbatasan', 'httpstcoqboipl0sw9']"
Sun Feb 05 06:33:39 +0000 2023,@Ronnie_Rusli Saya sudah menyarankan Indonesia gabung dengan BRICS sejak tahun lalu,mecomuhammad, Saya sudah menyarankan Indonesia gabung dengan BRICS sejak tahun lalu,Saya sudah menyarankan Indonesia gabung dengan BRICS sejak tahun lalu,saya sudah menyarankan indonesia gabung dengan brics sejak tahun lalu,saya sudah menyarankan indonesia gabung dengan brics sejak tahun lalu,sudah menyarankan indonesia gabung brics sejak tahun lalu,"['sudah', 'menyarankan', 'indonesia', 'gabung', 'brics', 'sejak', 'tahun', 'lalu']"
Mon Mar 06 06:30:11 +0000 2023,THE BLACKPINK IN YOUR AREA Pop-up Store &amp; Exhibition at Senayan Park (SPARK) in Jakarta Indonesia until April 6th! #BLACKPINK_WORLDTOUR #블랙핑크 #BLACKPINK_BORNPINK @BLACKPINK https://t.co/XFqLKkCcbz,BBU_BLACKPINK,THE BLACKPINK IN YOUR AREA Popup Store amp Exhibition at Senayan Park SPARK in Jakarta Indonesia until April 6th     httpstcoXFqLKkCcbz,BLACKPINK DI DAERAH ANDA Toko Popup & Pameran di Senayan Park SPARK di Jakarta Indonesia hingga 6 April httpstcoXFqLKkCcbz,blackpink di daerah anda toko popup & pameran di senayan park spark di jakarta indonesia hingga 6 april httpstcoxfqlkkccbz,blackpink di daerah anda toko popup & pameran di senayan park spark di jakarta indonesia hingga 6 april httpstcoxfqlkkccbz,blackpink daerah toko popup & pameran senayan park spark jakarta indonesia hingga 6 april httpstcoxfqlkkccbz,"['blackpink', 'daerah', 'toko', 'popup', '&', 'pameran', 'senayan', 'park', 'spark', 'jakarta', 'indonesia', 'hingga', '6', 'april', 'httpstcoxfqlkkccbz']"
Mon Feb 20 13:27:45 +0000 2023,I was struck by Indonesia s bewildering diversity: It has 1 300 ethnic groups speaking 700 languages spread across 1 000 inhabited islands. Yet somehow it has stayed together since winning its freedom from Dutch rule. It has even become a democracy. https://t.co/DhdzlUeCWV,MaxBoot,I was struck by Indonesia s bewildering diversity It has 1 300 ethnic groups speaking 700 languages spread across 1 000 inhabited islands Yet somehow it has stayed together since winning its freedom from Dutch rule It has even become a democracy httpstcoDhdzlUeCWV,"Saya terpesona dengan keberagaman Indonesia yang membingungkan. Indonesia memiliki 1.300 kelompok etnis yang berbicara dalam 700 bahasa yang tersebar di 1.000 pulau berpenghuni. Namun, entah bagaimana, Indonesia tetap bersatu sejak merdeka dari penjajahan Belanda. Bahkan, Indonesia telah menjadi negara demokrasi.","saya terpesona dengan keberagaman indonesia yang membingungkan. indonesia memiliki 1.300 kelompok etnis yang berbicara dalam 700 bahasa yang tersebar di 1.000 pulau berpenghuni. namun, entah bagaimana, indonesia tetap bersatu sejak merdeka dari penjajahan belanda. bahkan, indonesia telah menjadi negara demokrasi.","saya terpesona dengan keberagaman indonesia yang membingungkan. indonesia memiliki 1.300 kelompok etnis yang berbicara dalam 700 bahasa yang tersebar di 1.000 pulau berpenghuni. namun, entah bagaimana, indonesia tetap bersatu sejak merdeka dari penjajahan belanda. bahkan, indonesia telah menjadi negara demokrasi.","terpesona keberagaman indonesia membingungkan. indonesia memiliki 1.300 kelompok etnis berbicara 700 bahasa tersebar 1.000 pulau berpenghuni. namun, entah bagaimana, indonesia tetap bersatu sejak merdeka penjajahan belanda. bahkan, indonesia menjadi negara demokrasi.","['terpesona', 'keberagaman', 'indonesia', 'membingungkan', '.', 'indonesia', 'memiliki', '1.300', 'kelompok', 'etnis', 'berbicara', '700', 'bahasa', 'tersebar', '1.000', 'pulau', 'berpenghuni', '.', 'namun', ',', 'entah', 'bagaimana', ',', 'indonesia', 'tetap', 'bersatu', 'sejak', 'merdeka', 'penjajahan', 'belanda', '.', 'bahkan', ',', 'indonesia', 'menjadi', 'negara', 'demokrasi', '.']"
Tue Apr 25 14:25:04 +0000 2023,NEW New World Order? Nineteen countries expressed an interest in joining the BRICS group of nations that include Brazil Russia India China and South Africa,TheInsiderPaper,NEW New World Order Nineteen countries expressed an interest in joining the BRICS group of nations that include Brazil Russia India China and South Africa,"Tatanan Dunia Baru Sembilan belas negara menyatakan minatnya untuk bergabung dengan kelompok negara-negara BRICS yang meliputi Brasil, Rusia, India, Tiongkok, dan Afrika Selatan.","tatanan dunia baru sembilan belas negara menyatakan minatnya untuk bergabung dengan kelompok negara-negara brics yang meliputi brasil, rusia, india, tiongkok, dan afrika selatan.","tatanan dunia baru sembilan belas negara menyatakan minatnya untuk bergabung dengan kelompok negara-negara brics yang meliputi brasil, rusia, india, tiongkok, dan afrika selatan.","tatanan dunia baru sembilan belas negara menyatakan minatnya bergabung kelompok negara-negara brics meliputi brasil, rusia, india, tiongkok, afrika selatan.","['tatanan', 'dunia', 'baru', 'sembilan', 'belas', 'negara', 'menyatakan', 'minatnya', 'bergabung', 'kelompok', 'negara', '-', 'negara', 'brics', 'meliputi', 'brasil', ',', 'rusia', ',', 'india', ',', 'tiongkok', ',', 'afrika', 'selatan', '.']"
Mon Mar 20 18:33:25 +0000 2023,The country will apply the experience of Russia and its Mir payment system to introduce its own national payment system Dodit Proboyakti of the Indonesian Credit Card Association (AKKI) told RIA Novosti,jaccocharite,The country will apply the experience of Russia and its Mir payment system to introduce its own national payment system Dodit Proboyakti of the Indonesian Credit Card Association AKKI told RIA Novosti,Negara akan terapkan pengalaman Rusia dan sistem pembayaran Mir untuk perkenalkan sistem pembayaran nasionalnya sendiri Dodit Proboyakti dari Asosiasi Kartu Kredit Indonesia AKKI mengatakan kepada RIA Novosti,negara akan terapkan pengalaman rusia dan sistem pembayaran mir untuk perkenalkan sistem pembayaran nasionalnya sendiri dodit proboyakti dari asosiasi kartu kredit indonesia akki mengatakan kepada ria novosti,negara akan terapkan pengalaman rusia dan sistem pembayaran mir untuk perkenalkan sistem pembayaran nasionalnya sendiri dodit proboyakti dari asosiasi kartu kredit indonesia akki mengatakan kepada ria novosti,negara terapkan pengalaman rusia sistem pembayaran mir perkenalkan sistem pembayaran nasionalnya sendiri dodit proboyakti asosiasi kartu kredit indonesia akki mengatakan ria novosti,"['negara', 'terapkan', 'pengalaman', 'rusia', 'sistem', 'pembayaran', 'mir', 'perkenalkan', 'sistem', 'pembayaran', 'nasionalnya', 'sendiri', 'dodit', 'proboyakti', 'asosiasi', 'kartu', 'kredit', 'indonesia', 'akki', 'mengatakan', 'ria', 'novosti']"
Sat Mar 11 12:55:33 +0000 2023,Indo blinks are wild SELAMAT DATANG BLACKPINK #BORNPINKinJKTday1 #BLACKPINKinJAKARTA #BORNPINKinJAKARTA @BLACKPINK https://t.co/ib92Km0VF6,blinkeushoppe,Indo blinks are wild SELAMAT DATANG BLACKPINK     httpstcoib92Km0VF6,Indo blinks are wild SELAMAT DATANG BLACKPINK     httpstcoib92Km0VF6,indo blinks are wild selamat datang blackpink     httpstcoib92km0vf6,indo blinks are wild selamat datang blackpink httpstcoib92km0vf6,indo blinks are wild selamat datang blackpink httpstcoib92km0vf6,"['indo', 'blinks', 'are', 'wild', 'selamat', 'datang', 'blackpink', 'httpstcoib92km0vf6']"
Thu Mar 16 06:24:18 +0000 2023,#Brahmos Aerospace looking at sealing orders worth 500 million USD in South East Asia #Indonesia is in talks to place an order of 200-350 million USD for shore based as well as ship based Supersonic Brahmos Cruise Missile systems #IADN https://t.co/UomMFk9YEx,NewsIADN, Aerospace looking at sealing orders worth 500 million USD in South East Asia  is in talks to place an order of 200350 million USD for shore based as well as ship based Supersonic Brahmos Cruise Missile systems  httpstcoUomMFk9YEx,Aerospace sedang mempertimbangkan pesanan senilai 500 juta USD di Asia Tenggara dan sedang dalam pembicaraan untuk memesan sistem Rudal Jelajah Supersonik Brahmos berbasis darat dan berbasis kapal senilai 200350 juta USD httpstcoUomMFk9YEx,aerospace sedang mempertimbangkan pesanan senilai 500 juta usd di asia tenggara dan sedang dalam pembicaraan untuk memesan sistem rudal jelajah supersonik brahmos berbasis darat dan berbasis kapal senilai 200350 juta usd httpstcouommfk9yex,aerospace sedang mempertimbangkan pesanan senilai 500 juta usd di asia tenggara dan sedang dalam pembicaraan untuk memesan sistem rudal jelajah supersonik brahmos berbasis darat dan berbasis kapal senilai 200350 juta usd httpstcouommfk9yex,aerospace sedang mempertimbangkan pesanan senilai 500 juta usd asia tenggara sedang pembicaraan memesan sistem rudal jelajah supersonik brahmos berbasis darat berbasis kapal senilai 200350 juta usd httpstcouommfk9yex,"['aerospace', 'sedang', 'mempertimbangkan', 'pesanan', 'senilai', '500', 'juta', 'usd', 'asia', 'tenggara', 'sedang', 'pembicaraan', 'memesan', 'sistem', 'rudal', 'jelajah', 'supersonik', 'brahmos', 'berbasis', 'darat', 'berbasis', 'kapal', 'senilai', '200350', 'juta', 'usd', 'httpstcouommfk9yex']"
Mon Mar 27 17:48:43 +0000 2023,Exciting update from our partners at Guardarian! They now support the local payment method Mandiri VA for Indonesia 🇮🇩 providing more options and accessibility for our Indonesian users. Keep up the great work! #Bridge #BRG $BRG #BNBChain #Guardarian #Crypto #Indonesia,bridge_oracle,Exciting update from our partners at Guardarian They now support the local payment method Mandiri VA for Indonesia  providing more options and accessibility for our Indonesian users Keep up the great work   BRG    ,Pembaruan yang menarik dari mitra kami di Guardarian Mereka sekarang mendukung metode pembayaran lokal Mandiri VA untuk Indonesia yang menyediakan lebih banyak opsi dan aksesibilitas bagi pengguna kami di Indonesia. Teruskan kerja hebatmu BRG,pembaruan yang menarik dari mitra kami di guardarian mereka sekarang mendukung metode pembayaran lokal mandiri va untuk indonesia yang menyediakan lebih banyak opsi dan aksesibilitas bagi pengguna kami di indonesia. teruskan kerja hebatmu brg,pembaruan yang menarik dari mitra kami di guardarian mereka sekarang mendukung metode pembayaran lokal mandiri va untuk indonesia yang menyediakan lebih banyak opsi dan aksesibilitas bagi pengguna kami di indonesia. teruskan kerja hebatmu brg,pembaruan menarik mitra di guardarian sekarang mendukung metode pembayaran lokal mandiri va indonesia menyediakan lebih banyak opsi aksesibilitas pengguna di indonesia. teruskan kerja hebatmu brg,"['pembaruan', 'menarik', 'mitra', 'di', 'guardarian', 'sekarang', 'mendukung', 'metode', 'pembayaran', 'lokal', 'mandiri', 'va', 'indonesia', 'menyediakan', 'lebih', 'banyak', 'opsi', 'aksesibilitas', 'pengguna', 'di', 'indonesia', '.', 'teruskan', 'kerja', 'hebatmu', 'brg']"
Fri Mar 17 17:25:33 +0000 2023,Congrats DRDO! ️BRAHMOS to #Indonesia 🇮🇩 India expecting a $200 million deal. #Philippines 🇵🇭 might give a follow-on-order of $300 million. Brahmos Rocks‼️ Watched our video on Brahmos yet? https://t.co/bH3RNpZaBm https://t.co/fYXvsx4FEu,LevinaNeythiri,Congrats DRDO BRAHMOS to   India expecting a 200 million deal   might give a followonorder of 300 million Brahmos Rocks Watched our video on Brahmos yet httpstcobH3RNpZaBm httpstcofYXvsx4FEu,Selamat DRDO BRAHMOS ke India yang mengharapkan kesepakatan 200 juta mungkin memberikan tindak lanjut atas pesanan 300 juta Brahmos Rocks Menonton video kami di Brahmos httpstcobH3RNpZaBm httpstcofYXvsx4FEu,selamat drdo brahmos ke india yang mengharapkan kesepakatan 200 juta mungkin memberikan tindak lanjut atas pesanan 300 juta brahmos rocks menonton video kami di brahmos httpstcobh3rnpzabm httpstcofyxvsx4feu,selamat drdo brahmos ke india yang mengharapkan kesepakatan 200 juta mungkin memberikan tindak lanjut atas pesanan 300 juta brahmos rocks menonton video kami di brahmos httpstcobh3rnpzabm httpstcofyxvsx4feu,selamat drdo brahmos india mengharapkan kesepakatan 200 juta mungkin memberikan tindak lanjut atas pesanan 300 juta brahmos rocks menonton video di brahmos httpstcobh3rnpzabm httpstcofyxvsx4feu,"['selamat', 'drdo', 'brahmos', 'india', 'mengharapkan', 'kesepakatan', '200', 'juta', 'mungkin', 'memberikan', 'tindak', 'lanjut', 'atas', 'pesanan', '300', 'juta', 'brahmos', 'rocks', 'menonton', 'video', 'di', 'brahmos', 'httpstcobh3rnpzabm', 'httpstcofyxvsx4feu']"
Wed Apr 19 14:24:52 +0000 2023,Reports : #Indonesia could order #BrahMos by the end of this year. The deal is expected to be worth around $200 million and the price negotiations are at an advanced stage. #IADN https://t.co/sIZemv62Ac,NewsIADN,Reports   could order  by the end of this year The deal is expected to be worth around 200 million and the price negotiations are at an advanced stage  httpstcosIZemv62Ac,Laporan bisa dipesan pada akhir tahun ini Kesepakatan tersebut diharapkan bernilai sekitar 200 juta dan negosiasi harga berada pada tahap lanjutan httpstcosIZemv62Ac,laporan bisa dipesan pada akhir tahun ini kesepakatan tersebut diharapkan bernilai sekitar 200 juta dan negosiasi harga berada pada tahap lanjutan httpstcosizemv62ac,laporan bisa dipesan pada akhir tahun ini kesepakatan tersebut diharapkan bernilai sekitar 200 juta dan negosiasi harga berada pada tahap lanjutan httpstcosizemv62ac,laporan dipesan akhir tahun kesepakatan tersebut diharapkan bernilai 200 juta negosiasi harga berada tahap lanjutan httpstcosizemv62ac,"['laporan', 'dipesan', 'akhir', 'tahun', 'kesepakatan', 'tersebut', 'diharapkan', 'bernilai', '200', 'juta', 'negosiasi', 'harga', 'berada', 'tahap', 'lanjutan', 'httpstcosizemv62ac']"
Thu Mar 16 06:44:33 +0000 2023,BrahMos Aerospace expects to close a deal this year to sell Indonesia supersonic cruise missiles worth at least $200 million. https://t.co/VrCutHzmBF,alpha_defense,BrahMos Aerospace expects to close a deal this year to sell Indonesia supersonic cruise missiles worth at least 200 million httpstcoVrCutHzmBF,BrahMos Aerospace berharap dapat menutup kesepakatan tahun ini untuk menjual rudal jelajah supersonik senilai setidaknya 200 juta kepada Indonesia httpstcoVrCutHzmBF,brahmos aerospace berharap dapat menutup kesepakatan tahun ini untuk menjual rudal jelajah supersonik senilai setidaknya 200 juta kepada indonesia httpstcovrcuthzmbf,brahmos aerospace berharap dapat menutup kesepakatan tahun ini untuk menjual rudal jelajah supersonik senilai setidaknya 200 juta kepada indonesia httpstcovrcuthzmbf,brahmos aerospace berharap menutup kesepakatan tahun untuk menjual rudal jelajah supersonik senilai 200 juta indonesia httpstcovrcuthzmbf,"['brahmos', 'aerospace', 'berharap', 'menutup', 'kesepakatan', 'tahun', 'untuk', 'menjual', 'rudal', 'jelajah', 'supersonik', 'senilai', '200', 'juta', 'indonesia', 'httpstcovrcuthzmbf']"
Mon Feb 06 14:25:26 +0000 2023,Indonesia plans to build new coal-fired power plants to make batteries for @Tesla's electric vehicles. https://t.co/dIRJCGEvCF,BrianGitt,Indonesia plans to build new coalfired power plants to make batteries for s electric vehicles httpstcodIRJCGEvCF,Indonesia berencana membangun pembangkit listrik tenaga batu bara baru untuk memproduksi baterai kendaraan listrik httpstcodIRJCGEvCF,indonesia berencana membangun pembangkit listrik tenaga batu bara baru untuk memproduksi baterai kendaraan listrik httpstcodirjcgevcf,indonesia berencana membangun pembangkit listrik tenaga batu bara baru untuk memproduksi baterai kendaraan listrik httpstcodirjcgevcf,indonesia berencana membangun pembangkit listrik tenaga batu bara baru memproduksi baterai kendaraan listrik httpstcodirjcgevcf,"['indonesia', 'berencana', 'membangun', 'pembangkit', 'listrik', 'tenaga', 'batu', 'bara', 'baru', 'memproduksi', 'baterai', 'kendaraan', 'listrik', 'httpstcodirjcgevcf']"
Thu Feb 16 15:46:07 +0000 2023,Good discussion with Indonesian Foreign Minister Retno Marsudi @Menlu_RI today regarding Indonesia s chairmanship of @ASEAN and our joint efforts under the U.S.-Indonesia Strategic Partnership. The United States supports ASEAN and its role in shaping a free open Indo-Pacific.,SecBlinken,Good discussion with Indonesian Foreign Minister Retno Marsudi  today regarding Indonesia s chairmanship of  and our joint efforts under the USIndonesia Strategic Partnership The United States supports ASEAN and its role in shaping a free open IndoPacific,Diskusi yang baik dengan Menteri Luar Negeri Indonesia Retno Marsudi hari ini mengenai kepemimpinan Indonesia dan upaya bersama kita di bawah Kemitraan Strategis AS-Indonesia Amerika Serikat mendukung ASEAN dan perannya dalam membentuk kawasan Indo-Pasifik yang bebas dan terbuka.,diskusi yang baik dengan menteri luar negeri indonesia retno marsudi hari ini mengenai kepemimpinan indonesia dan upaya bersama kita di bawah kemitraan strategis as-indonesia amerika serikat mendukung asean dan perannya dalam membentuk kawasan indo-pasifik yang bebas dan terbuka.,diskusi yang baik dengan menteri luar negeri indonesia retno marsudi hari ini mengenai kepemimpinan indonesia dan upaya bersama kita di bawah kemitraan strategis as-indonesia amerika serikat mendukung asean dan perannya dalam membentuk kawasan indo-pasifik yang bebas dan terbuka.,diskusi baik menteri luar negeri indonesia retno marsudi hari mengenai kepemimpinan indonesia upaya bersama di bawah kemitraan strategis as-indonesia amerika serikat mendukung asean perannya membentuk kawasan indo-pasifik bebas terbuka.,"['diskusi', 'baik', 'menteri', 'luar', 'negeri', 'indonesia', 'retno', 'marsudi', 'hari', 'mengenai', 'kepemimpinan', 'indonesia', 'upaya', 'bersama', 'di', 'bawah', 'kemitraan', 'strategis', 'as', '-', 'indonesia', 'amerika', 'serikat', 'mendukung', 'asean', 'perannya', 'membentuk', 'kawasan', 'indo', '-', 'pasifik', 'bebas', 'terbuka', '.']"
Mon Apr 24 22:08:19 +0000 2023,@robfnunn @spectatorindex The vertical institutionalization of the BRICS took place in June 2009 with the Ekaterinburg Summit. Today there is even a development bank with a budget of U$$ 100 billion,reporterenato,  The vertical institutionalization of the BRICS took place in June 2009 with the Ekaterinburg Summit Today there is even a development bank with a budget of U 100 billion,Institusionalisasi vertikal BRICS terjadi pada bulan Juni 2009 dengan KTT Yekaterinburg. Saat ini bahkan ada bank pembangunan dengan anggaran U 100 miliar.,institusionalisasi vertikal brics terjadi pada bulan juni 2009 dengan ktt yekaterinburg. saat ini bahkan ada bank pembangunan dengan anggaran u 100 miliar.,institusionalisasi vertikal brics terjadi pada bulan juni 2009 dengan ktt yekaterinburg. saat ini bahkan ada bank pembangunan dengan anggaran u 100 miliar.,institusionalisasi vertikal brics terjadi bulan juni 2009 ktt yekaterinburg. ini bahkan bank pembangunan anggaran u 100 miliar.,"['institusionalisasi', 'vertikal', 'brics', 'terjadi', 'bulan', 'juni', '2009', 'ktt', 'yekaterinburg', '.', 'ini', 'bahkan', 'bank', 'pembangunan', 'anggaran', 'u', '100', 'miliar', '.']"
Wed Feb 01 23:27:11 +0000 2023,With a formal invite from China their largest trading partner South Africa joined the BRICS alliance as a knowledge bank for mining and in hopes to support the cooperation of emerging economies. How will South Africa use this alliance to their benefit? #brics #oilandgas https://t.co/EXqPpE7qmw,nj_ayuk,With a formal invite from China their largest trading partner South Africa joined the BRICS alliance as a knowledge bank for mining and in hopes to support the cooperation of emerging economies How will South Africa use this alliance to their benefit   httpstcoEXqPpE7qmw,"Dengan undangan resmi dari Tiongkok, mitra dagang terbesar mereka, Afrika Selatan, bergabung dengan aliansi BRICS sebagai bank pengetahuan untuk pertambangan dan dengan harapan dapat mendukung kerja sama negara-negara ekonomi berkembang. Bagaimana Afrika Selatan akan menggunakan aliansi ini untuk keuntungan mereka? httpstcoEXqPpE7qmw","dengan undangan resmi dari tiongkok, mitra dagang terbesar mereka, afrika selatan, bergabung dengan aliansi brics sebagai bank pengetahuan untuk pertambangan dan dengan harapan dapat mendukung kerja sama negara-negara ekonomi berkembang. bagaimana afrika selatan akan menggunakan aliansi ini untuk keuntungan mereka? httpstcoexqppe7qmw","dengan undangan resmi dari tiongkok, mitra dagang terbesar mereka, afrika selatan, bergabung dengan aliansi brics sebagai bank pengetahuan untuk pertambangan dan dengan harapan dapat mendukung kerja dengan negara-negara ekonomi berkembang. bagaimana afrika selatan akan menggunakan aliansi ini untuk keuntungan mereka? httpstcoexqppe7qmw","undangan resmi tiongkok, mitra dagang terbesar mereka, afrika selatan, bergabung aliansi brics bank pengetahuan pertambangan harapan mendukung kerja dengan negara-negara ekonomi berkembang. bagaimana afrika selatan menggunakan aliansi untuk keuntungan mereka? httpstcoexqppe7qmw","['undangan', 'resmi', 'tiongkok', ',', 'mitra', 'dagang', 'terbesar', 'mereka', ',', 'afrika', 'selatan', ',', 'bergabung', 'aliansi', 'brics', 'bank', 'pengetahuan', 'pertambangan', 'harapan', 'mendukung', 'kerja', 'dengan', 'negara', '-', 'negara', 'ekonomi', 'berkembang', '.', 'bagaimana', 'afrika', 'selatan', 'menggunakan', 'aliansi', 'untuk', 'keuntungan', 'mereka', '?', 'httpstcoexqppe7qmw']"
Sun Feb 19 19:48:22 +0000 2023,@nickhedley Nic. We are part of BRICS. What exactly is a surprise here? And where is this vocal outrage for the West that are the biggest perpetrators of war crimes since the Second World War ?,refiloer, Nic We are part of BRICS What exactly is a surprise here And where is this vocal outrage for the West that are the biggest perpetrators of war crimes since the Second World War ,Nic Kita adalah bagian dari BRICS Apa sebenarnya yang mengejutkan di sini? Dan di mana kemarahan vokal ini terhadap Barat yang merupakan pelaku kejahatan perang terbesar sejak Perang Dunia Kedua?,nic kita adalah bagian dari brics apa sebenarnya yang mengejutkan di sini? dan di mana kemarahan vokal ini terhadap barat yang merupakan pelaku kejahatan perang terbesar sejak perang dunia kedua?,nic kita adalah bagian dari brics apa sebenarnya yang mengejutkan di sini? dan di mana kemarahan vokal ini terhadap barat yang merupakan pelaku kejahatan perang terbesar sejak perang dunia kedua?,nic adalah bagian brics apa sebenarnya mengejutkan sini? di mana kemarahan vokal terhadap barat merupakan pelaku kejahatan perang terbesar sejak perang dunia kedua?,"['nic', 'adalah', 'bagian', 'brics', 'apa', 'sebenarnya', 'mengejutkan', 'sini', '?', 'di', 'mana', 'kemarahan', 'vokal', 'terhadap', 'barat', 'merupakan', 'pelaku', 'kejahatan', 'perang', 'terbesar', 'sejak', 'perang', 'dunia', 'kedua', '?']"
Thu Jan 26 09:44:21 +0000 2023, BUILD JAKAPAN AS CIMOL BANDUNG A THREAD https://t.co/JDFjzRZY68,biubib_bbles, BUILD JAKAPAN AS CIMOL BANDUNG A THREAD httpstcoJDFjzRZY68,BUILD JAKAPAN AS CIMOL BANDUNG A THREAD httpstcoJDFjzRZY68,build jakapan as cimol bandung a thread httpstcojdfjzrzy68,build jakapan as cimol bandung a thread httpstcojdfjzrzy68,build jakapan as cimol bandung a thread httpstcojdfjzrzy68,"['build', 'jakapan', 'as', 'cimol', 'bandung', 'a', 'thread', 'httpstcojdfjzrzy68']"
